taxo_id,specie,blast_name,genbank_common_name,accession_number,mtDNA
8945,Eudynamys scolopaceus,birds,Asian koel,NC_060520,https://www.ncbi.nlm.nih.gov/nucleotide/NC_060520.1
7460,Apis mellifera,Bees,honey bee,NC_051932,https://www.ncbi.nlm.nih.gov/nucleotide/NC_051932.1
36300,Pelecanus crispus,birds,Dalmatian pelican,OR620163,https://www.ncbi.nlm.nih.gov/nuccore/OR620163.1
10116,Rattus norvegicus,Rodents,Norway rat,NC_001665,https://www.ncbi.nlm.nih.gov/nuccore/NC_001665
9031,Gallus gallus,birds,Gallus gallus,NC_006088,https://www.ncbi.nlm.nih.gov/nuccore/NC_053523.1
59463,Myotis lucifugus,bats,little brown bat,NC_029849,https://www.ncbi.nlm.nih.gov/nuccore/NC_029849.1
7070,Tribolium castaneum,Insects,Tribolium castaneum,NC_003081,https://www.ncbi.nlm.nih.gov/nuccore/NC_003081
8845,Anser cygnoides,birds,Swan goose,NC_023832,https://www.ncbi.nlm.nih.gov/nucleotide/NC_023832.1
56079,Ovis aries,sheep,even-toed ungulates,NC_001941,https://www.ncbi.nlm.nih.gov/nuccore/NC_001941
8976,Struthio camelus,birds,Struthio camelus,NC_002785,https://www.ncbi.nlm.nih.gov/nuccore/NC_002785
56313,Tyto alba,birds,common barn owl,MZ318036,https://www.ncbi.nlm.nih.gov/nuccore/MZ318036.1
7227,Drosophila melanogaster,flies,fruit fly,NC_004354,https://www.ncbi.nlm.nih.gov/nuccore/NC_004354
8822,Apteryx australis,birds,Southern brown kiwi,MN356385,https://www.ncbi.nlm.nih.gov/nuccore/MN356385.1
92683,Spheniscus demersus,birds,jackass penguin,NC_022817,https://www.ncbi.nlm.nih.gov/nucleotide/NC_022817.1
37347,Corvus brachyrhynchos,birds,American crow,NC_026461,https://www.ncbi.nlm.nih.gov/nucleotide/NC_026461.1
10090,Mus musculus,rodents,house mouse,NC_005089,https://www.ncbi.nlm.nih.gov/nuccore/NC_005089
8790,Dromaius novaehollandiae,birds,emu,NC_002784,https://www.ncbi.nlm.nih.gov/nuccore/NC_002784
8839,Anas platyrhynchos,birds,mallard,NC_009684,https://www.ncbi.nlm.nih.gov/nuccore/NC_009684
132908,Pteropus vampyrus,bats,large flying fox,NC_021423,https://www.ncbi.nlm.nih.gov/nuccore/NC_008371
8801,Struthio camelus,birds,African ostrich,NC_002785,https://www.ncbi.nlm.nih.gov/nuccore/NC_002785
193005,Aquila nipalensis,hawks & eagles,steppe eagle,NC_045042,https://www.ncbi.nlm.nih.gov/nuccore/NC_045042.1
219595,Cygnus cygnus,birds,common whooper,NC_027095,https://www.ncbi.nlm.nih.gov/nucleotide/NC_027095.1
59729,Taeniopygia guttata,birds,zebra finch,NC_007897,https://www.ncbi.nlm.nih.gov/nucleotide/NC_007897.1
9233,Aptenodytes forsteri,birds,emperor penguin,NC_027938,https://www.ncbi.nlm.nih.gov/nucleotide/NC_027938.1
9606,Homo sapiens,Homo sapiens,Homo,CP139510,https://www.ncbi.nlm.nih.gov/nuccore/CP139510
9598,Pan troglodytes,Pan troglodytes,Pan,NC_001643,https://www.ncbi.nlm.nih.gov/nuccore/NC_001643
9612,Canis lupus,Canis lupus,Canis,MH891616,https://www.ncbi.nlm.nih.gov/nuccore/MH891616
9685,Felis catus,Felis catus,Felis,NC_001700,https://www.ncbi.nlm.nih.gov/nuccore/NC_001700
10090,Mus musculus,Mus musculus,Mus,EU450583,https://www.ncbi.nlm.nih.gov/nuccore/EU450583
9694,Panthera tigris,Panthera tigris,Panthera,KJ508413,https://www.ncbi.nlm.nih.gov/nuccore/KJ508413
39947,Oryza sativa,Oryza sativa Japonica Group,Oryza,BA000010,https://www.ncbi.nlm.nih.gov/nuccore/BA000010
3702,Arabidopsis thaliana,Arabidopsis thaliana,Arabidopsis,NC_003070,https://www.ncbi.nlm.nih.gov/nuccore/NC_003070
7227,Drosophila melanogaster,Drosophila melanogaster,Drosophila,U37541,https://www.ncbi.nlm.nih.gov/nuccore/U37541
6239,Caenorhabditis elegans,Caenorhabditis elegans,Caenorhabditis,CM003212,https://www.ncbi.nlm.nih.gov/nuccore/CM003212
